kanji,english,
網走駅,Abashiri Station,
安部駅,Abe Station,
安倍川駅,Abekawa Station,
阿倍野駅,Abeno Station,
安部山公園駅,Abeyamakōen Station,
網引駅,Abiki Station,
我孫子駅,Abiko Station,
我孫子駅,Abiko Station,
我孫子町駅,Abikochō Station,
我孫子前駅,Abikomae Station,
我孫子道駅,Abikomichi Station,
安平駅,Abira Station,
網干駅,Aboshi Station,
阿母崎駅,Abozaki Station,
油田駅,Aburaden Station,
油日駅,Aburahi Station,
油川駅,Aburakawa Station,
油津駅,Aburatsu Station,
安達駅,Adachi Station,
足立小台駅,Adachi-Odai Station,
安曇川駅,Adogawa Station,
阿分駅,Afun Station,
阿夫利神社駅,Afurijinja Station,
英賀保駅,Agaho Station,
吾野駅,Agano Station,
上道駅,Agarimichi Station,
県駅,Agata Station,
阿川駅,Agawa Station,
上ゲ駅,Age Station,
阿下喜駅,Ageki Station,
上松駅,Agematsu Station,
上尾駅,Ageo Station,
阿木駅,Agi Station,
阿久比駅,Agui Station,
安比奈駅,Ahina Station,
愛別駅,Aibetsu Station,
愛知大学前駅,Aichidaigakumae Station,
愛・地球博記念公園駅,Aichikyūhaku-kinen-kōen Station,
愛知御津駅,Aichi-Mito Station,
愛大医学部南口駅,Aidai Igakubu Minamiguchi Station,
相賀駅,Aiga Station,
相原駅,Aihara Station,
秋鹿町駅,Aikamachi Station,
愛環梅坪駅,Aikan-Umetsubo Station,
合川駅,Aikawa Station,
相川駅,Aikawa Station,
愛甲石田駅,Aikō-Ishida Station,
相見駅,Aimi Station,
藍本駅,Aimoto Station,
愛本駅,Aimoto Station,
藍那駅,Aina Station,
相野駅,Aino Station,
愛野駅,Aino Station,
愛野駅,Aino Station,
相ノ木駅,Ainoki Station,
相内駅,Ainonai Station,
相野々駅,Ainono Station,
あいの里公園駅,Ainosato-kōen Station,
あいの里教育大駅,Ainosato-Kyōikudai Station,
相浦駅,Ainoura Station,
相生駅,Aioi Station,
相老駅,Aioi Station,
相生駅,Aioi Station,
相生山駅,Aioiyama Station,
姶良駅,Aira Station,
愛山駅,Aizan Station,
会津荒海駅,Aizu-Arakai Station,
会津坂下駅,Aizu-Bange Station,
会津蒲生駅,Aizu-Gamō Station,
会津桧原駅,Aizu-Hinohara Station,
会津本郷駅,Aizu-Hongō Station,
会津川口駅,Aizu-Kawaguchi Station,
相月駅,Aizuki Station,
会津高原尾瀬口駅,Aizukōgen-Ozeguchi Station,
会津越川駅,Aizu-Kosugawa Station,
逢妻駅,Aizuma Station,
会津宮下駅,Aizu-Miyashita Station,
会津水沼駅,Aizu-Mizunuma Station,
会津長野駅,Aizu-Nagano Station,
会津中川駅,Aizu-Nakagawa Station,
会津西方駅,Aizu-Nishikata Station,
会津大塩駅,Aizu-Ōshio Station,
会津坂本駅,Aizu-Sakamoto Station,
